event id	time of event (UTC)	dead time	decay time (ns)	1st chA height	1st chA position	1st chA integral	1st chB height	1st chB position	1st chB integral	1st chC height	1st chC position	1st chC integral	1st chD height	1st chD position	1st chD integral	2nd chA height	2nd chA position	2nd chA integral	2nd chB height	2nd chB position	2nd chB integral	2nd chC height	2nd chC position	2nd chC integral	2nd chD height	2nd chD position	2nd chD integral
147	1678811778228836.5	0.00021140050064656087	3334	327.98657	508	11147.261	278.71246	509	9017.009	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	71.3121	1342	1798.7906	0.0	0	0.0
148	1678811782468623.2	5.313967175090551e-05	676	679.9336	510	23435.334	764.4408	510	25116.135	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	270.74622	679	9372.634	0.0	0	0.0	0.0	0	0.0
151	1678811792859394.2	2.3633021892915065e-05	4351	231.99126	507	7623.516	378.24493	509	12158.013	91.1048	509	2351.4875	127.21457	510	3886.8042	36.002106	1598	1094.1044	0.0	0	0.0	0.0	0	0.0	51.68863	1595	1304.9563
155	1678811801699032.8	2.989021509157489e-05	8026	527.94354	508	16907.184	985.7437	509	32856.875	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	221.84116	2515	6663.927	0.0	0	0.0
156	1678811802693475.8	0.0001591908501702431	9918	367.97183	508	12159.272	342.41205	509	11141.817	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	79.23227	2988	2147.6194	0.0	0	0.0
158	1678811805111624.2	0.00012661418660599651	1284	467.9657	508	15571.509	195.09717	508	5945.3457	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	237.68146	829	6989.4146	170.95227	829	5445.8394
162	1678811818470535.2	1.893242346702086e-05	4746	279.98892	508	9067.243	218.98068	511	7649.9224	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	59.424194	1696	1528.7131	0.0	0	0.0
163	1678811818860062.2	0.0003348066048100753	2762	343.98068	508	11367.257	282.69562	508	8990.01	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	166.3847	1199	5300.545	87.46002	1198	2748.2676
167	1678811837285446.0	8.125424011848013e-05	294	431.9636	510	14811.3955	465.84338	509	17594.04	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	67.68268	583	3076.284	0.0	0	0.0	0.0	0	0.0
171	1678811847805585.0	0.0006865141484693164	7416	171.98264	508	5783.0137	167.23056	510	5170.639	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	126.768555	2363	3784.471	0.0	0	0.0
