counter	timestamp	deadtime	chA_height	chA_position	chA_integral	chB_height	chB_position	chB_integral	chC_height	chC_position	chC_integral	chD_height	chD_position	chD_integral
82	1679327161564385.0	0.00565330414557395	327.29276	100	7.158435e-08	249.22276	100	5.1748703e-08	223.98111	100	4.853111376953125e-08	288.88428	100	6.075133e-08
83	1679327161598139.5	0.006490889421547207	481.7992	100	1.0158253e-07	150.58423	100	3.1122898e-08	452.85028	100	9.494677001953125e-08	434.6152	100	9.16353e-08
84	1679327161614791.2	0.013906176230739517	163.90094	100	3.368327e-08	511.4768	100	1.0675903e-07	342.16217	100	7.083477319335938e-08	420.57904	100	8.7357066e-08
85	1679327161646631.8	0.007716661552164183	327.33142	100	7.176245e-08	187.19449	100	3.993586e-08	0.0	0	0.0	0.0	0	0.0
86	1679327161705904.5	0.004382861002991604	127.92038	101	2.7127857e-08	418.2242	100	8.8022965e-08	265.50705	100	5.595475146484376e-08	366.51556	100	7.682309e-08
87	1679327161711583.0	0.02768729641693811	132.92368	100	2.605381e-08	268.7524	100	5.5716626e-08	257.43753	100	5.3993347656250006e-08	230.53043	100	4.584571e-08
88	1679327161744910.8	0.00689404157835014	373.52072	100	8.189233e-08	674.3211	100	1.4031826e-07	236.06166	100	4.8651328857421875e-08	453.23715	100	9.904186e-08
89	1679327161749161.2	0.011793698292554129	451.32443	100	9.3742656e-08	398.50125	100	8.2771244e-08	677.3231	100	1.4172267675781253e-07	384.26108	100	8.0497216e-08
90	1679327161764558.5	0.014748179425983722	246.78079	100	5.1533128e-08	456.1721	100	9.6033176e-08	553.5965	100	1.1654456494140626e-07	248.50452	100	5.3457246e-08
91	1679327161842752.0	0.002254863670759392	282.48224	100	6.1749816e-08	324.72925	100	6.7428154e-08	658.1068	100	1.3739853955078126e-07	256.10416	100	5.3560964e-08
92	1679327161843691.2	0.12753147235905857	81.588196	100	1.7848905e-08	541.9282	100	1.1339797e-07	344.81937	100	7.457056518554688e-08	246.81519	100	5.2136333e-08
